Fecha UTC,Magnitud,Hora detección estación AC04,Hora detección estación AC05,Hora detección estación CO05,Hora detección estación CO10,Distancia a estación AC04,Distancia a estación AC05,Distancia a estación CO05,Distancia a estación CO10
2021-07-04T01:01:37,5.9,2021-07-04T01:01:47,2021-07-04T01:01:52,2021-07-04T01:01:52,2021-07-04T01:01:43,82.25,126.88,128.51,50.24
2021-07-04T01:29:15,5.8,2021-07-04T01:29:25,2021-07-04T01:29:30,2021-07-04T01:29:31,2021-07-04T01:29:21,81.16,128.99,131.79,53.48
2021-07-04T01:34:42,4.0,2021-07-04T01:34:51,2021-07-04T01:34:56,2021-07-04T01:34:58,2021-07-04T01:34:48,72.92,118.25,131.6,54.22
2021-07-04T01:36:16,4.1,2021-07-04T01:36:24,2021-07-04T01:36:30,2021-07-04T01:36:32,2021-07-04T01:36:22,71.71,113.66,129.58,52.94
2021-07-04T02:57:48,4.6,2021-07-04T02:57:57,2021-07-04T02:58:03,2021-07-04T02:58:04,2021-07-04T02:57:54,78.31,126.78,132.93,54.72
2021-07-04T04:03:22,4.4,2021-07-04T04:03:32,2021-07-04T04:03:37,2021-07-04T04:03:38,2021-07-04T04:03:28,81.15,128.68,131.5,53.2
2021-07-04T04:08:09,4.0,2021-07-04T04:08:18,2021-07-04T04:08:24,2021-07-04T04:08:25,2021-07-04T04:08:15,79.36,126.68,131.64,53.41
2021-07-04T15:05:28,4.6,2021-07-04T15:05:38,2021-07-04T15:05:43,2021-07-04T15:05:43,2021-07-04T15:05:34,81.2,125.43,128.37,50.16
2021-07-04T15:57:11,4.3,2021-07-04T15:57:20,2021-07-04T15:57:25,2021-07-04T15:57:27,2021-07-04T15:57:17,75.99,120.11,129.69,52.0
2021-07-04T19:39:24,4.0,2021-07-04T19:39:34,2021-07-04T19:39:40,2021-07-04T19:39:39,2021-07-04T19:39:30,86.13,131.62,128.6,50.29
2021-07-04T23:40:25,4.4,2021-07-04T23:40:34,2021-07-04T23:40:40,2021-07-04T23:40:42,2021-07-04T23:40:32,73.98,126.39,137.48,59.37   
